,tweet_id,sentiment,text
0,637641175948763000,neutral,"[someone] LOST - Sony cell phone with holiday photos. Early Fri morning, Montreal transit plaza or no. 13 bus to airport. REWARD! Plz RT."
1,637651487762555000,neutral,"[someone] well yeah, that is third parties. Sony itself is not putting out actual games for it. it is got 1-2 yrs of 3rd party support left."
2,637666734300906000,negative,Sony rewards app is like a lot of 19 y.o female singers and a non retro sale. 2nd one with no info
3,637668142110655000,neutral,"[someone] Have android tab and do not use phone much, in fact very little. May go the Sony route then:-)"
4,637708370129125000,positive,Finally I get my ps4 back I sent it to Sony because my HDMI was mess up now I can play MG's Tuesday yeaaaaa buddy
5,637807521500021000,negative,"[someone] Why will not you guys help me out?! I am calling Sony tomorrow! I want help but the ""support team"" 3 hours of tweeting and nothing"
6,637857585652077000,neutral,Sony's 1st teaser package for the launch of the original Playstation seems to feature a dominatrix?
7,637859860017648000,neutral,#tv Ind vs SL 3rd Test Day 3: Cricket live score and Sony Six live streaming info: Watch the live teleca...
8,637923877423743000,neutral,"[someone] [someone] [someone] [someone] [someone] [someone] Lol it is all about Sony Sony Sony, if Sony gave Bj's you be the 1st"
9,638045103861465000,neutral,"[someone] Official reason, because the game has to be on our region store and sony will not have it up til tuesday"
10,638141885022736000,positive,"the only thing crazier than last-gen was 6th-gen. a 4-way console race between Sega, Nintendo, Microsoft &amp; Sony. you will NEVER see that again"
11,638159273072063000,positive,When you remember Sony is trying to make bible study mandatory on Sunday nights [someone]
12,638172841284866000,neutral,I know it is coming coon but I do not get why it has taken so long for Sony to release a remote for the PS4. All of the 3rd party ones are bad.
13,638175116145377000,positive,[someone] Everyone is playing 3.0 and I am just sitting here playing 2.0 because Sony is making me wait until tomorrow.
14,638198267013169000,positive,Albert Shum and I won 3rd in a SONY design competition in early 90's...our design was a phone in which you push...
15,638218790539407000,neutral,At least Sony will probably be selling it for cheap come Black Friday.
16,638270737502106000,neutral,[someone] Might keep SONY monthly subs going beyond tomorrow....
17,638393198201696000,positive,"[someone] Nope. Tomorrow.  Wait... tomorrow's also when Sony breaks out the next bundle of PS+ freebies.  Oh, what a LOVELY day!"
18,638394988892521000,neutral,"Uncharted 4: A Thief's End launches for PS4 in North America on March 18, 2016, Sony announced today.The latest game in the Naughty D..."
19,638399901349622000,negative,[someone] Will be interesting to see if  Sony addresses the heat issues in the Z5 - it may have found a work around
20,638453810093007000,positive,[someone] is official. Coming back to the Sony family with Destiny in hand Sept 15th.
21,638481185275052000,neutral,"[someone] Hi Adam, you may need to contact Playstation support or Sony for details regarding this aspect of your purchase. ^TO"
22,638575315770479000,positive,Oh my gosh actual acknowledgement from Sony the Vita exists.
23,638626774503416000,positive,"Mashable : Sony's electronics division may be in a slump, but it does not plan on fading quietly into the night. To spur innovation at..."
24,638640306905190000,neutral,#tech Sony's new smartwatch packs all its tech in the wristband: Sony's electronics division may be in a slump...
25,638775649193361000,negative,"[someone] [someone] both of webb ones made less money than the 3rd Raimi one, plus the success of Marvel had Sony scared i think"
26,638783969568367000,negative,And in comes Sony with the letdown. Only one color. Clap it up... low and slow
27,638797155428340000,neutral,[someone] it is the disc tray reader that is all I know. My warranty is up so it would be 140 to get fixed by Sony so may do it myself
28,638813699927622000,positive,"[someone] [someone] Personally, I am looking forward to Sony's presser tomorrow about the new Xperia :p"
29,638822443352613000,positive,"DEAL ALERT: Here's a 3rd-party battery w/great reviews [someone], compatible with Sony CineAlta &amp; Blackmagic URSA cams:"
30,638823054353695000,neutral,Aqua blue PS Vita debuts in November - Sony is introducing an aqua blue PlayStation Vita and will begin selling it...
31,638890534073954000,neutral,Sony may release first smartphone with 4K screen - The Star Online
32,638901502791184000,neutral,"Do I know anyone in LA with a Red, Sony C300 or Sony fs7 that I could rent or borrow tomorrow night (9/2) for a few hours?"
33,639074935240065000,neutral,[someone] For any information on this we ask that you contact Sony directly. Apologies for the inconvenience this may because. ^AI
34,639087527165497000,neutral,Rich Guys cannot Make Other Rich Guys Look Bad: it is the 1st Law Of Rich Guys or something.In the end even Sony...
35,639093319516205000,positive,Sony may just have made my new phone. that is a brilliant line up that nails practically everything. let us see what the reviews say.
36,639093919024742000,negative,Exactly why I will never buy Sony. Those 1st class ass kissers are dick pulling the media for high scores on future games. LOL. [someone]
37,639121090652930000,neutral,Sony may have cut scenes from #WillSmith's film #Concussion to avoid angering the NFL!
38,639162337513988000,positive,[someone] [someone] But they make up for it in amazing 3rd party support. And there are a handful of good 1st party Sony games
39,639191969349149000,positive,New phone on Saturday! Torn between Sony z3 or Samsung A5 - which one would you recommend?
40,639234985568961000,neutral,Do you see Sony pulling shit like this? No. 
41,639284990036079000,neutral,Sony went all out with this new high-tech smartphone. Some may question if anyone needs this phone #J2150BB 
42,639331098372125000,neutral,We going to hold a meetup on September 6th with SONY and other Japanese Giants: 
43,639607684833129000,neutral,Sony's pulling a #TASM2 by beginning pre-production on a Goosebumps sequel even though the 1st one has not come out yet. #FuckingStupid
44,639703605705114000,neutral,[someone] [someone] [someone] it is Friday let us see if JL and Sony can resolve the issue. Gut feeling is that they will go silent.
45,639708225927930000,neutral,"Sony Xperia Z5, Xperia Z5 Compact Price, Xperia Z5 Premium Detailed: Following the launch announcement on Wednesday, Sony has reveale..."
46,639713042201190000,neutral,"[someone] It may be planned obsolescence, but to me, it just means I do not buy stuff from companies like Sony."
47,639768346708185000,neutral,Xperia Z5 pre-orders available at the Carphone Warehouse:  Sony may have only announced its ne...
48,639820972766446000,neutral,"#IFA2015: International Fair of Electronic Consumers of Berlin, GER 4-9/Sep. with Samsung, Sony, Sharp, Epson,Toshiba"
49,639867771812188000,negative,[someone] Sony do not care about their exclusives they never made a theme console for their exclusives
50,639894389716857000,neutral,"Everybody chill, Sony may have a separate global flagship phone in the works Unfortunately, there are"
51,639899871550538000,positive,"[someone] Marvel is in charge now, no way Sony can get too involved to mess up the 3rd time, plus they have a good director/writers."
52,639948495990977000,neutral,"M$: Sony is gobbling up 3rd Party Exclusives  Says the company that tried to steal away Tomb Raider, Deadrising, Rareware, several indies..."
53,639967215069041000,neutral,The New York Times reported Tuesday that Sony executives seemingly softened Concussion to placate the NFL
54,640137904149394000,neutral,What evidence is there that says North Korea hacked Sony or are we just a propaganda machine for the US Govt?
55,640156377244127000,neutral,[someone] do not know about tinder style. Sony had a thing called +you that sat on top of
56,640170970603475000,positive,"Sony announced a new 500 GB PlayStation 4 bundle with Uncharted 4; will be in stored on October 9 for $400 in the US, $450 in Canada."
57,640209445763568000,positive,Huge play by #Georgia to get out of the shadow of their own goal line on 2nd down. Lambert to Sony for a 48 yard gain. Very accurate pass
58,640213874793411000,positive,[someone] I have always loved Sony. Been watching the kid since his 8th grade.
59,640254617750671000,neutral,[someone] could hit the 3rd console war with [someone] as you wrote about some of the characters that went over to Sony's side.
60,640271739486884000,positive,"[the Sun daily] Lenovo, Sony and Marshall London on-trend smartphones: SOME smartphone trends come and go but ..."
61,640290626756477000,positive,"#DidYouKnow? ""One"" was once voted the 5th most popular song of all time, in a poll conducted by Sony"
62,640305092827071000,positive,"[someone] that is why I think it may be some weird last minute deal with sony, Mirrors Edge had a solid 12 or so TV's"
63,640337021215605000,neutral,I am going to sony store tomorrow.. may go in debt. i need to get a few things before its really tooooo late
64,640343783956214000,neutral,I am having some major problems with Sony so probably no upload tonight I promise 2 tomorrow though. &lt;3 =)
65,640356367031624000,positive,"Sony is not anymore first to market with things awesome, but are so good at being 2nd to market but first in value. #aqua"
66,640543554574520000,positive,"Sony has their 1st #1 film of the summer, as WAR ROOM fought off COMPTON $9.3M to $8.8M."
67,640547904004817000,positive,"Immensely enjoyable TV Song show ""Indian Idol Jr"" comes to a close today.Well done Sony, may the best kid win.All the finalists were tops."
68,640553827448586000,positive,Uncharted in March may just be the thing to bring me back to Sony
69,640594318298870000,neutral,Should add in October 27 - Read that folder on PC from the Sony leak with all the scripts &amp; production emails with a bottle of wine &amp; candle
70,640640375980343000,positive,I do like that Sony formed that 3rd Party production team to assist with localization of games
71,640645857449128000,positive,"OK... Sony has announced its playable games line up for the Tokyo Games Show 2015, September 15.   Interestingly..."
72,640718570452861000,neutral,"Drew at Hitfix says the new Bond song will be released Tuesday. SONY will not tell the performer, but rumors is Radiohead."
73,640719522387771000,neutral,"[someone] sumo made the game. Sony's in-lead. Sony decided the game release date, they chose black friday to get more money."
