,Word,Frequency
14,corona,2732
17,coronavirus,2503
21,covid19,2087
23,new,1824
25,trump,1556
27,people,1445
30,get,1212
31,virus,1210
33,u,1134
34,say,1117
35,test,1115
38,covid,1061
47,c,986
53,v,939
54,case,937
56,death,909
58,right,870
60,go,854
61,amp,821
62,one,803
65,state,730
66,face,725
68,good,712
69,like,701
74,time,670
76,first,665
77,want,652
78,many,639
79,day,613
80,positive,612
81,make,609
83,great,598
85,need,595
86,home,594
89,know,583
91,take,570
92,would,562
95,see,517
96,work,516
97,die,503
98,american,501
