,Word,Frequency
7,corona,4353
12,coronavirus,3053
21,covid19,2378
23,virus,1677
25,trump,1509
28,u,1212
30,get,1204
31,say,1185
39,face,1052
43,covid,998
45,people,979
46,go,964
47,c,900
50,death,855
52,like,845
53,v,845
57,pandemic,771
60,amp,746
62,state,740
66,test,674
71,one,627
72,come,607
73,outside,602
74,tear,595
75,take,585
76,die,583
79,know,571
82,would,556
83,house,553
85,make,548
86,day,530
88,case,507
90,home,489
91,time,481
94,need,466
95,china,466
96,president,455
97,want,448
98,health,447
99,call,434
